iter	Passed	Remaining
0	147	147270
1	150	75004
2	153	50867
3	156	38916
4	159	31720
5	162	26867
6	164	23379
7	167	20753
8	169	18660
9	171	16952
10	172	15553
11	174	14387
12	176	13381
13	177	12514
14	179	11764
15	180	11101
16	181	10506
17	183	9983
18	184	9516
19	185	9089
20	186	8699
21	187	8344
22	188	8015
23	189	7714
24	190	7438
25	191	7182
26	192	6943
27	193	6719
28	194	6511
29	195	6315
30	196	6135
31	197	5969
32	198	5813
33	199	5667
34	200	5530
35	201	5400
36	202	5278
37	203	5162
38	204	5050
39	205	4943
40	206	4840
41	208	4745
42	209	4653
43	210	4569
44	211	4486
45	212	4405
46	213	4329
47	214	4257
48	215	4188
49	216	4119
50	217	4053
51	218	3989
52	219	3927
53	220	3868
54	221	3810
55	222	3755
56	223	3702
57	224	3651
58	225	3603
59	226	3556
60	228	3511
61	229	3468
62	230	3426
63	231	3384
64	232	3343
65	233	3303
66	234	3265
67	235	3227
68	236	3191
69	237	3157
70	238	3122
71	239	3089
72	240	3057
73	241	3026
74	243	2997
75	244	2967
76	245	2938
77	246	2910
78	247	2881
79	248	2854
80	249	2827
81	250	2801
82	250	2770
83	251	2746
84	252	2721
85	253	2698
86	254	2675
87	256	2653
88	257	2632
89	258	2611
90	259	2589
91	260	2568
92	261	2548
93	262	2528
94	263	2508
95	264	2489
96	265	2470
97	266	2451
98	267	2432
99	268	2414
100	269	2396
101	270	2379
102	271	2363
103	272	2347
104	273	2331
105	274	2315
106	275	2299
107	276	2285
108	277	2269
109	278	2254
110	279	2240
111	280	2225
112	281	2212
113	282	2199
114	284	2185
115	285	2173
116	286	2158
117	287	2145
118	288	2132
119	289	2119
120	290	2109
121	291	2096
122	292	2085
123	293	2073
124	294	2061
125	295	2050
126	296	2037
127	297	2026
128	298	2015
129	299	2006
130	300	1996
131	302	1986
132	303	1975
133	304	1965
134	305	1956
135	306	1946
136	307	1937
137	308	1928
138	309	1919
139	310	1910
140	312	1901
141	312	1890
142	314	1881
143	315	1873
144	316	1864
145	317	1856
146	318	1847
147	319	1840
148	320	1833
149	322	1825
150	323	1817
151	324	1810
152	325	1803
153	327	1796
154	328	1790
155	329	1783
156	330	1776
157	332	1769
158	333	1762
159	334	1756
160	335	1747
161	336	1739
162	337	1733
163	338	1726
164	339	1719
165	340	1712
166	342	1706
167	343	1699
168	344	1693
169	345	1686
170	346	1679
171	347	1673
172	348	1666
173	349	1660
174	350	1654
175	351	1647
176	353	1641
177	354	1635
178	355	1629
179	356	1623
180	357	1617
181	358	1611
182	359	1605
183	360	1598
184	361	1592
185	362	1586
186	363	1580
187	364	1574
188	365	1568
189	366	1562
190	367	1557
191	368	1552
192	369	1546
193	371	1541
194	372	1536
195	373	1530
196	374	1524
197	375	1519
198	376	1514
199	377	1508
200	378	1503
201	379	1498
202	380	1492
203	381	1487
204	382	1482
205	383	1477
206	384	1472
207	385	1467
208	386	1463
209	387	1458
210	388	1453
211	389	1448
212	390	1443
213	391	1438
214	392	1433
215	393	1428
216	394	1424
217	395	1419
218	396	1414
219	397	1410
220	399	1406
221	400	1402
222	401	1398
223	402	1394
224	403	1390
225	404	1385
226	405	1381
227	406	1377
228	407	1372
229	408	1368
230	409	1364
231	410	1359
232	411	1356
233	413	1352
234	414	1348
235	415	1345
236	416	1341
237	417	1337
238	418	1333
239	419	1329
240	420	1325
241	421	1321
242	422	1316
243	423	1313
244	424	1309
245	425	1305
246	426	1301
247	427	1297
248	429	1294
249	430	1290
250	431	1286
251	432	1283
252	433	1279
253	434	1275
254	435	1271
255	436	1267
256	437	1264
257	438	1262
258	439	1258
259	440	1254
260	442	1251
261	443	1248
262	444	1245
263	445	1241
264	446	1238
265	447	1235
266	448	1231
267	449	1228
268	450	1224
269	451	1221
270	452	1218
271	454	1215
272	455	1212
273	456	1209
274	457	1205
275	458	1202
276	459	1199
277	460	1195
278	461	1192
279	462	1188
280	463	1185
281	464	1182
282	465	1179
283	466	1176
284	467	1173
285	468	1170
286	469	1167
287	470	1164
288	471	1160
289	472	1157
290	473	1154
291	474	1151
292	475	1148
293	476	1145
294	477	1142
295	479	1140
296	480	1137
297	481	1134
298	482	1131
299	483	1128
300	484	1126
301	485	1123
302	487	1120
303	488	1117
304	489	1114
305	490	1111
306	491	1108
307	492	1105
308	493	1103
309	494	1100
310	495	1097
311	496	1095
312	497	1092
313	498	1089
314	499	1087
315	500	1084
316	501	1081
317	502	1078
318	503	1075
319	504	1073
320	506	1070
321	507	1067
322	508	1064
323	509	1062
324	510	1059
325	511	1056
326	512	1053
327	513	1051
328	514	1048
329	515	1045
330	516	1043
331	517	1040
332	518	1037
333	519	1035
334	520	1033
335	521	1030
336	522	1027
337	523	1025
338	524	1022
339	525	1019
340	526	1017
341	527	1015
342	528	1012
343	529	1009
344	530	1007
345	531	1004
346	532	1002
347	533	999
348	534	997
349	535	995
350	536	992
351	538	990
352	539	988
353	540	986
354	541	984
355	543	982
356	544	980
357	545	978
358	546	976
359	547	974
360	549	971
361	550	969
362	551	967
363	552	965
364	553	962
365	554	960
366	555	958
367	556	956
368	557	953
369	558	951
370	559	949
371	560	946
372	561	944
373	563	942
374	564	940
375	565	937
376	565	935
377	566	932
378	567	930
379	568	928
380	570	926
381	571	923
382	572	921
383	573	919
384	574	917
385	575	914
386	576	912
387	577	910
388	578	908
389	579	905
390	580	903
391	581	901
392	582	899
393	583	897
394	584	895
395	585	892
396	586	890
