iter	Passed	Remaining
0	141	141358
1	143	71424
2	144	48123
3	149	37192
4	153	30503
5	155	25838
6	157	22372
7	159	19772
8	162	17897
9	165	16422
10	167	15082
11	169	13953
12	171	12995
13	172	12173
14	174	11474
15	178	10999
16	181	10486
17	183	9995
18	184	9549
19	186	9146
20	188	8778
21	190	8456
22	193	8238
23	196	7985
24	198	7723
25	199	7481
26	201	7257
27	203	7047
28	204	6860
29	209	6765
30	211	6602
31	212	6441
32	214	6291
33	216	6149
34	218	6013
35	221	5935
36	224	5831
37	226	5724
38	227	5615
39	229	5512
40	231	5412
41	233	5315
42	236	5257
43	238	5178
44	240	5095
45	241	5015
46	243	4936
47	245	4863
48	246	4790
49	248	4721
50	250	4668
51	252	4607
52	254	4544
53	255	4483
54	257	4425
55	259	4369
56	260	4315
57	263	4276
58	265	4232
59	267	4184
60	268	4137
61	270	4093
62	272	4049
63	273	4006
64	275	3965
65	278	3938
66	281	3915
67	282	3877
68	284	3840
69	286	3803
70	288	3772
71	289	3737
72	296	3760
73	297	3728
74	299	3695
75	301	3667
76	304	3649
77	306	3620
78	313	3654
79	317	3648
80	319	3619
81	321	3594
82	322	3560
83	328	3577
84	330	3552
85	332	3536
86	334	3512
87	336	3491
88	342	3504
89	344	3481
90	346	3462
91	348	3437
92	350	3414
93	352	3396
94	354	3381
95	357	3370
96	360	3355
97	362	3332
98	363	3309
99	365	3289
100	367	3273
101	370	3259
102	373	3250
103	375	3235
104	377	3216
105	379	3198
106	381	3180
107	384	3174
108	387	3168
109	389	3152
110	391	3134
111	393	3116
112	394	3100
113	397	3086
114	401	3090
115	403	3078
116	405	3059
117	407	3042
118	409	3028
119	411	3015
120	415	3018
121	417	3004
122	419	2988
123	420	2972
124	422	2959
125	424	2945
126	426	2934
127	431	2938
128	433	2924
129	434	2910
130	436	2896
131	438	2882
132	440	2868
133	446	2886
134	449	2880
135	451	2866
136	453	2853
137	454	2840
138	458	2837
139	460	2830
140	462	2817
141	463	2801
142	465	2788
143	467	2777
144	468	2764
145	472	2762
146	474	2755
147	476	2743
148	478	2731
149	480	2720
150	481	2708
151	483	2697
152	490	2713
153	492	2702
154	494	2694
155	496	2683
156	498	2674
157	500	2665
158	503	2665
159	505	2655
160	506	2641
161	508	2631
162	510	2620
163	512	2611
164	513	2600
165	517	2597
166	519	2588
167	521	2580
168	523	2574
169	525	2565
170	527	2557
171	530	2555
172	533	2550
173	535	2542
174	537	2534
175	539	2525
176	541	2515
177	542	2506
178	545	2501
179	547	2494
180	549	2487
181	551	2480
182	553	2471
183	555	2462
184	556	2453
185	558	2446
186	561	2440
187	563	2433
188	565	2425
189	567	2418
190	571	2419
191	573	2414
192	576	2409
193	578	2403
194	580	2398
195	582	2391
196	584	2383
197	586	2375
198	588	2367
199	593	2373
200	598	2377
201	600	2370
202	602	2364
203	604	2357
204	606	2352
205	609	2350
206	611	2343
207	614	2339
208	617	2337
209	625	2351
210	627	2345
211	629	2340
212	631	2334
213	633	2326
214	636	2323
215	639	2322
216	642	2316
217	643	2309
218	645	2302
219	647	2295
220	649	2290
221	654	2292
222	655	2284
223	657	2278
224	659	2270
225	662	2267
226	664	2263
227	668	2263
228	670	2257
229	672	2251
230	674	2244
231	675	2237
232	677	2230
233	679	2225
234	684	2228
235	686	2221
236	688	2215
237	689	2208
238	691	2201
239	693	2197
240	696	2193
241	699	2189
242	701	2184
243	702	2177
244	704	2171
245	713	2188
246	717	2186
247	720	2183
248	722	2177
249	725	2175
250	729	2177
251	732	2173
252	734	2167
253	735	2161
254	738	2156
255	740	2151
256	743	2150
257	746	2147
258	748	2140
259	749	2134
260	751	2128
261	753	2123
262	756	2120
263	759	2117
264	761	2111
265	762	2105
266	764	2099
267	767	2095
268	769	2091
269	772	2089
270	776	2087
271	778	2082
272	779	2076
273	781	2071
274	783	2065
275	785	2061
276	788	2057
277	789	2051
278	792	2047
279	793	2041
280	795	2035
281	797	2029
282	799	2025
283	806	2032
284	807	2026
285	809	2021
286	811	2016
287	813	2010
288	816	2008
289	819	2006
290	821	2001
291	823	1995
292	825	1990
293	826	1985
294	829	1982
295	835	1987
296	838	1983
297	839	1978
298	841	1973
299	847	1977
300	850	1975
301	853	1971
302	856	1970
303	858	1965
304	863	1966
305	866	1965
306	868	1960
307	870	1955
308	872	1950
309	874	1946
310	878	1946
311	880	1941
312	882	1937
313	884	1932
314	885	1926
315	888	1922
316	892	1923
317	895	1919
318	896	1914
319	899	1910
320	900	1905
321	902	1900
322	910	1909
323	912	1904
324	914	1899
325	916	1895
326	921	1897
327	927	1900
328	929	1895
329	930	1889
330	932	1885
331	937	1886
332	940	1883
333	941	1878
334	943	1872
335	945	1867
336	947	1863
337	953	1867
338	956	1864
339	957	1859
340	959	1854
341	961	1849
342	963	1844
343	966	1843
344	969	1841
345	971	1836
346	973	1832
347	975	1827
348	977	1822
349	984	1828
350	986	1823
351	987	1818
352	989	1813
353	991	1809
354	995	1808
355	998	1806
356	1000	1802
357	1002	1797
358	1004	1793
359	1006	1788
360	1008	1784
361	1012	1783
362	1014	1780
363	1016	1776
364	1019	1773
365	1021	1769
366	1023	1765
367	1028	1766
368	1030	1762
369	1032	1757
370	1034	1753
371	1036	1749
372	1038	1745
373	1043	1745
374	1044	1741
375	1047	1737
376	1048	1732
377	1050	1728
378	1052	1723
379	1056	1723
380	1058	1720
381	1060	1715
382	1062	1711
383	1063	1706
384	1065	1702
385	1067	1697
386	1071	1697
387	1073	1693
388	1075	1689
389	1077	1684
390	1078	1680
391	1080	1676
392	1082	1671
393	1085	1669
394	1088	1666
395	1089	1662
396	1091	1657
397	1093	1653
398	1095	1649
399	1097	1645
400	1101	1645
401	1103	1642
402	1106	1639
403	1108	1635
404	1110	1632
405	1113	1629
406	1119	1631
407	1122	1628
408	1124	1625
409	1128	1623
410	1131	1622
411	1137	1622
412	1152	1637
413	1154	1634
414	1156	1630
415	1163	1633
416	1165	1629
417	1167	1625
418	1170	1622
419	1173	1620
420	1178	1620
421	1180	1616
422	1182	1613
423	1184	1608
424	1185	1604
425	1189	1602
426	1191	1599
427	1193	1594
428	1195	1590
429	1196	1586
430	1198	1582
431	1200	1578
432	1201	1573
433	1205	1571
434	1206	1567
435	1208	1563
436	1210	1559
437	1212	1555
438	1214	1551
439	1215	1547
440	1219	1545
441	1221	1542
442	1223	1537
443	1224	1533
444	1226	1530
445	1228	1525
446	1229	1521
447	1231	1517
448	1234	1515
449	1236	1511
450	1238	1507
451	1239	1503
452	1241	1499
453	1243	1495
454	1244	1490
455	1246	1486
456	1249	1484
457	1251	1481
458	1253	1477
459	1255	1473
460	1256	1469
461	1258	1465
462	1260	1461
463	1264	1460
464	1266	1456
465	1268	1453
466	1269	1449
467	1271	1445
468	1272	1441
469	1274	1437
470	1275	1432
471	1279	1431
472	1280	1427
473	1282	1423
474	1284	1419
475	1285	1415
476	1287	1411
477	1288	1407
478	1290	1403
479	1292	1400
480	1294	1396
481	1296	1393
482	1297	1389
483	1299	1385
484	1301	1381
485	1302	1377
486	1304	1373
487	1307	1371
488	1308	1367
489	1310	1364
490	1312	1360
491	1313	1356
492	1315	1352
493	1317	1349
494	1318	1345
495	1320	1342
496	1322	1338
497	1324	1335
498	1326	1331
499	1327	1327
500	1329	1324
501	1331	1320
502	1332	1316
503	1334	1312
504	1337	1311
505	1340	1308
506	1342	1305
507	1343	1301
508	1345	1297
509	1347	1294
510	1348	1290
511	1352	1288
512	1354	1285
513	1356	1282
514	1358	1279
515	1359	1275
516	1361	1271
517	1363	1268
518	1368	1268
519	1370	1264
520	1371	1261
521	1373	1257
522	1374	1253
523	1376	1250
524	1377	1246
525	1380	1244
526	1383	1241
527	1384	1237
528	1386	1234
529	1387	1230
530	1389	1227
531	1390	1223
532	1392	1219
533	1396	1218
534	1398	1215
535	1399	1211
536	1401	1208
537	1402	1204
538	1404	1201
539	1406	1197
540	1407	1194
541	1410	1191
542	1412	1188
543	1413	1185
544	1415	1181
545	1417	1178
546	1418	1174
547	1422	1172
548	1426	1172
549	1428	1168
550	1430	1165
551	1431	1161
552	1433	1158
553	1434	1155
554	1436	1151
555	1440	1150
556	1442	1147
557	1444	1143
558	1445	1140
559	1447	1137
560	1448	1133
561	1450	1130
562	1452	1127
563	1455	1125
564	1457	1122
565	1459	1119
566	1461	1115
567	1462	1112
568	1464	1109
569	1466	1106
570	1468	1103
571	1470	1100
572	1472	1097
573	1473	1093
574	1475	1090
575	1476	1087
576	1478	1083
577	1480	1080
578	1481	1077
579	1483	1074
580	1485	1071
581	1487	1068
582	1488	1064
583	1490	1061
584	1493	1059
585	1495	1056
586	1496	1053
587	1500	1051
588	1502	1048
589	1504	1045
590	1506	1042
591	1509	1039
592	1510	1036
593	1512	1033
594	1515	1031
595	1517	1028
596	1518	1025
597	1520	1022
598	1522	1018
599	1523	1015
600	1525	1012
601	1526	1009
602	1528	1006
603	1530	1003
604	1532	1000
605	1534	997
606	1535	994
607	1537	991
608	1538	987
609	1540	984
610	1541	981
611	1543	978
612	1545	975
613	1547	973
614	1549	969
615	1550	966
616	1552	963
617	1554	960
618	1555	957
619	1557	954
620	1559	951
621	1560	948
622	1562	945
623	1564	942
624	1565	939
625	1567	936
626	1568	933
627	1570	930
628	1572	927
629	1574	924
630	1576	921
631	1577	918
632	1579	915
633	1580	912
634	1582	909
635	1583	906
636	1584	903
637	1586	900
638	1588	897
639	1590	894
640	1592	891
641	1593	888
642	1595	885
643	1596	882
644	1598	879
645	1599	876
646	1601	873
647	1603	871
648	1605	868
649	1607	865
650	1608	862
651	1610	859
652	1611	856
653	1613	853
654	1614	850
655	1616	847
656	1618	845
657	1620	842
658	1622	839
659	1623	836
660	1625	833
661	1626	830
662	1628	827
663	1629	824
664	1631	821
665	1633	819
666	1635	816
667	1637	813
668	1638	810
669	1640	807
